Variable,Subset,Type
Name,info,info
Code,info,info
Data.Collection.Number,info,info
Data.Collection.Date,info,info
Assessor,info,info
Breed,info,info
Sex,info,info
Litter,info,info
Source,info,info
PR.Sup,info,info
DOB,info,info
DOA,info,info
End.Date,info,info
Duration,info,info
Status,info,info
Label,info,info
Outcome,info,info
Familiarisation.Start.Time..MM.SS.,familiarisation,time
Familiarisation.Response..Oriented.to.Handler.,familiarisation,ordinal
Familiarisation.Response..Exploration.,familiarisation,ordinal
Familiarisation.Response..Waiting.,familiarisation,ordinal
Familiarisation.Comments,familiarisation,comments
Call.Back.Start.Time..MM.SS.,familiarisation,time
Call.Back.Response,familiarisation,ordinal
Call.Back.Comments,familiarisation,comments
Walking.Start.Time..MM.SS.,walking,time
Walking.Distractibility,walking,ordinal
Walking.Pull.on.leash,walking,ordinal
Walking.Pull.strength,walking,ordinal
Walking.Initiative,walking,ordinal
Walking.Comments,walking,comments
Standing.Start.Time..MM.SS.,standing,time
Standing.Response,standing,ordinal
Standing.Comments,standing,comments
Sitting.Start.Time..MM.SS.,sitting,time
Sitting.Response,sitting,ordinal
Sitting.Comments,sitting,comments
Lying.Start.Time..MM.SS.,lying,time
Lying.Response,lying,ordinal
Lying.Settled,lying,ordinal
Lying.Finish.Time..MM.SS.,lying,time
Lying.Comments,lying,comments
Body.check.Start.Time..MM.SS.,body,time
Body.check.Table,body,ordinal
Body.check.Response,body,ordinal
Body.check.General..Mouths.,body,categorical
Body.check.General..Licks.,body,categorical
Body.check.Finish.Time..MM.SS.,body,time
Body.Check.Comments,body,comments
Tea.Towel.Start.Time..MM.SS.,towel,time
Tea.Towel.First.Response..Indifferent.,towel,categorical
Tea.Towel.First.Response..Change.from.Neutral.,towel,categorical
Tea.Towel.First.Response..Turns.head.,towel,categorical
Tea.Towel.First.Response..Attempts.to.Removes.towel.by.moving.,towel,categorical
Tea.Towel.First.Response..Attempts.to.Removes.towel.with.mouth.,towel,categorical
Tea.Towel.First.Response..Plays.,towel,categorical
Tea.Towel.Second.Response..Indifferent.,towel,categorical
Tea.Towel.Second.Response..Turns.head.,towel,categorical
Tea.Towel.Second.Response..Change.from.Neutral.,towel,categorical
Tea.Towel.Second.Response..Attempts.to.Removes.towel.by.moving.,towel,categorical
Tea.Towel.Second.Response..Attempts.to.Removes.towel.with.mouth.,towel,categorical
Tea.Towel.Second.Response..Plays.,towel,categorical
Tea.Towel.Finish.Time..MM.SS.,towel,time
Tea.Towel.Comments,towel,comments
Distractions.Start.Time..MM.SS.,distractions,time
Distractions.First.Response..Teddy.,distractions,ordinal
Distractions.First.Response..Human.,distractions,ordinal
Distractions.First.Response..Car.,distractions,ordinal
Distractions.First.Response..Food.,distractions,ordinal
Distractions.Second.Response..Teddy.,distractions,ordinal
Distractions.Second.Response..Human.,distractions,ordinal
Distractions.Second.Response..Car.,distractions,ordinal
Distractions.Second.Response..Food.,distractions,ordinal
Distractions.Pull.on.leash,distractions,ordinal
Distractions.Human,distractions,ordinal
Distractions.Finish.Time..MM.SS.,distractions,time
Distractions.Comments,distractions,comments
Kong.Presentation.Start.Time..MM.SS.,kong,time
Kong.Presentation.Response,kong,ordinal
Kong.Interaction.Start.Time..MM.SS.,kong,time
Kong.Interaction.Lateralisation,kong,categorical
Kong.Interaction.Response.to.stimulus,kong,ordinal
Kong.Interaction.Response.to.handler,kong,ordinal
Kong.Interaction.Back,kong,ordinal
